FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G11.Day3,G11,Before_Diet,3,1458,0.11234396671289876
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G11.Day7,G11,Before_Diet,7,1788,0.138830654553925
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G12.Day1,G12,Before_Diet,1,0,0
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G12.Day3,G12,Before_Diet,3,916,0.08392889866226864
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G12.Day7,G12,Before_Diet,7,1281,0.12300748991741886
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G21.Day1,G21,Before_Diet,1,0,0
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G21.Day3,G21,Before_Diet,3,878,0.057217334636689474
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G21.Day7,G21,Before_Diet,7,1244,0.08000514502540357
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H11.Day1,H11,After_Diet,1,0,0
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H11.Day3,H11,After_Diet,3,160,0.011435105774728416
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H11.Day7,H11,After_Diet,7,1431,0.11566440349175558
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H12.Day1,H12,After_Diet,1,0,0
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H12.Day3,H12,After_Diet,3,81,0.00600578334692667
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H12.Day7,H12,After_Diet,7,298,0.022507552870090635
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H13.Day1,H13,After_Diet,1,0,0
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H13.Day3,H13,After_Diet,3,102,0.007853403141361256
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.H13.Day7,H13,After_Diet,7,149,0.012607886275173464
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G11.Day1,G11,Before_Diet,1,142,0.010279426668597075
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G11.Day3,G11,Before_Diet,3,983,0.07574356603482817
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G11.Day7,G11,Before_Diet,7,25,0.0019411444987964903
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G12.Day1,G12,Before_Diet,1,108,0.009584664536741214
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G12.Day3,G12,Before_Diet,3,975,0.08933479934029687
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G12.Day7,G12,Before_Diet,7,0,0
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G21.Day1,G21,Before_Diet,1,136,0.011391238797219198
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G21.Day3,G21,Before_Diet,3,880,0.05734767025089606
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.G21.Day7,G21,Before_Diet,7,37,0.0023795742491478553
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H11.Day1,H11,After_Diet,1,34,0.002627917761632401
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H11.Day3,H11,After_Diet,3,1566,0.11192109777015437
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H11.Day7,H11,After_Diet,7,739,0.059731652117685094
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H12.Day1,H12,After_Diet,1,22,0.0017489466571269576
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H12.Day3,H12,After_Diet,3,1204,0.08927114999629272
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H12.Day7,H12,After_Diet,7,955,0.07212990936555891
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H13.Day1,H13,After_Diet,1,46,0.0033311608371352015
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H13.Day3,H13,After_Diet,3,956,0.0736064059131506
97d34dbaf75b1ffbb56b6d7b8db933bf,MOUSE.H13.Day7,H13,After_Diet,7,814,0.06887798273819597
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G11.Day1,G11,Before_Diet,1,15,0.0010858549297813813
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G11.Day3,G11,Before_Diet,3,552,0.0425335182616736
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G11.Day7,G11,Before_Diet,7,1329,0.10319124155602143
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G12.Day1,G12,Before_Diet,1,14,0.0012424565140220093
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G12.Day3,G12,Before_Diet,3,419,0.03839105735752245
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G12.Day7,G12,Before_Diet,7,1126,0.10812367966199347
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G21.Day1,G21,Before_Diet,1,9,7.53831979227741e-4
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G21.Day3,G21,Before_Diet,3,829,0.054024112088628215
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.G21.Day7,G21,Before_Diet,7,2596,0.16695607434561707
db79739512d1a8e2ea6457e99ff96b8f,MOUSE.H11.Day1,H11,After_Diet,1,0,0
